Agency,Application name,Primary domain,Number of users,Number of licenses,Number of government support staff,Number of contractors,Start of use date,End of use date,is-custom,is-service,Manufacturer,Product/service name,Estimated replacement cost
DPC,LED Signs,Scheduling and Bookings,5,Not reported,0,Not reported,06/01/2003 0:00,07/01/2018 0:00,No,No,LED-Signs,LED-Signs,0
DPC,Medici,"Subsidies, Grants, Benefits and Assistance",24,Not reported,1,Not reported,12/01/2006 0:00,30/12/2016 0:00,Yes,No,NewBase,Medici,0
DPC,Online Forms,"Subsidies, Grants, Benefits and Assistance",630,Not reported,1,Not reported,01/03/2014 0:00,30/12/2016 0:00,No,No,GoHosting/Formidable Forms,AQ Online Forms,800
DPC,Pinnacle,Maintenance Management,11,Not reported,0.5,Not reported,01/01/2002 0:00,07/01/2018 0:00,No,No,Pinnacle,Pinnacle,0
DPC,SpringBoard,Recruitment,557,Not reported,0,0,06/01/2007 0:00,12/01/2018 0:00,No,No,HRX,RecruitASP/Springboard/SmartJobs Website,0
DPC,ReadyDesk,"Call Centre, Help Desk",24,Not reported,0.1,Not reported,01/06/2011 0:00,31/12/2015 0:00,No,No,ReadyDesk,ReadyDesk,8000
DPC,Report Central,Information Provision,500,Not reported,0.1,Not reported,01/03/2011 0:00,01/07/2018 0:00,Yes,No,Microsoft,SQL Server Reporting Services,15000
DPC,ScanNeT,Scheduling and Bookings,Not reported,Not reported,Not reported,Not reported,01/01/2000 0:00,07/01/2018 0:00,No,No,Access Control Systems. Federal APD (Now part of 3M),ScanNet Central Management System,0
DPC,TechnologyOne Facilities Management,Maintenance Management,Not reported,Not reported,Not reported,Not reported,01/01/2014 0:00,07/01/2020 0:00,No,No,TechnologyOne,Facilities Management,0
DPC,TechnologyOne Financials,General Ledger,270,Not reported,4,Not reported,01/01/2000 0:00,01/07/2020 0:00,No,No,TechnologyOne,Financeials,1700000
DPC,TechnologyOne Financials,General Ledger,Not reported,Not reported,Not reported,Not reported,01/01/2000 0:00,07/01/2020 0:00,No,No,TechnologyOne,FinanceOne,0
DPC,Traka Key Management,Inventory Management,5,Not reported,0,Not reported,01/01/2011 0:00,07/01/2018 0:00,No,No,TRAKA,TRAKA,0
DPC,HPRM,Document and Records Management,70,Not reported,2,Not reported,01/04/2010 0:00,01/07/2020 0:00,No,No,HP,HP Records Manager,800000
DPC,HPRM,Knowledge Management,Not reported,Not reported,Not reported,Not reported,04/01/2010 0:00,07/01/2020 0:00,No,No,HP,HP Records Manager,0
DPC,TRIM Cabinet Information System,Document and Records Management,557,50,1,0.5,01/07/2013 0:00,30/06/2018 0:00,Yes,No,HP,HPRM,850000
DPC,Queensland Register of Nominees,Human Capital Management,10,Not reported,0.1,0.1,30/06/2008 0:00,30/06/2015 0:00,Yes,No,DPC,QLD Register of Nominees (QRON),16890
DPC,Supply Process Automator,Information Submission,48,48,0.1,0.1,01/07/2010 0:00,01/07/2014 0:00,Yes,No,DPC,Supply Process,30000
DPC,Executive Council Minutes System,Document and Records Management,4,1,0,0.1,01/07/1994 0:00,30/06/2014 0:00,Yes,No,DPC,Executive Council Database,6525
DPC,Vision 6 Vee Mail Database,Event Management,220,1,0,0,01/07/2008 0:00,01/07/2015 0:00,No,No,Vision 6,Vision 6,5600
DPC,Joiners Leavers and Movers,Employee Administration,600,600,0.5,0.1,01/07/2005 0:00,30/06/2014 0:00,Yes,No,JLM Online,JLM Online,142000
DPC,TRIM eDRMS (OQPC),Document and Records Management,65,65,1,0.1,01/07/2010 0:00,01/07/2014 0:00,Yes,No,HP,HP TRIM,120000
DPC,Queensland Register of Appointees to Government Bodies,Portfolio Management,6,6,0.1,0.1,30/06/2007 0:00,30/06/2015 0:00,Yes,No,DPC,Queensland Register of Appointees to Government Bodies,13000
DPC,DPC Extranet Portal & Static Sites,Information Provision,10000,Not reported,0.1,0.1,30/06/2000 0:00,30/06/2020 0:00,Yes,No,DPC,Extranet - Static Site,0
DPC,DPC Internet site,Information Provision,6000,Not reported,0.25,0.1,01/07/2005 0:00,30/06/2016 0:00,Yes,No,DPC,Internet and associated sites,0
DPC,DPC HP Records Manager (HPRM),Document and Records Management,660,660,1,0.1,01/04/2012 0:00,31/03/2017 0:00,Yes,No,HP,HPRM,850000
DSITI,CIDM,Client Account Management,50000,0,0,0,1/11/2013 0:00,01/07/2018 0:00,Yes,No,CITEC,Customer Identity Management,4000000
DSITI,URL Management System,"Product, Service Development and Marketing",4793622,0,0.5,0,12/12/2013 0:00,1/12/2019 0:00,Yes,No,Smart Service,URL Management System,160000
DSITI,Funnelback,"Product, Service Development and Marketing",4793622,2,1,0,01/03/2008 0:00,1/11/2017 0:00,No,No,Funnelback,Funnelback,3250000
DSITI,Form Submissions,"Product, Service Development and Marketing",4793622,0,0.5,0,12/09/2013 0:00,01/07/2018 0:00,Yes,No,Smart Service,Form Submissions,400000
DSITI,TeamSite,"Product, Service Development and Marketing",20,1,0.25,0,10/01/2010 0:00,01/07/2017 0:00,No,No,Interwoven,Teamsite,400000
DSITI,RADS,Receipting,20,0,0.5,0,28/10/2010 0:00,1/12/2016 0:00,Yes,No,OSSSIO,RADS,800000
DSITI,Site Kiosk,Customer Service and Support,4793622,12,0.5,Not reported,24/11/2014 0:00,27/07/2016 0:00,No,No,Provisio Software Enginerring,Site Kiosk,4644
DSITI,Google Analytics,Customer Service and Support,1,1,0,0,01/04/2015 0:00,30/04/2016 0:00,No,No,Google,Google Analytics,216367
DSITI,Tableau,Modelling and Simulation,1,3,0,0,01/06/2013 0:00,01/07/2019 0:00,No,No,Tableau,Tableau,6396
DSITI,QG Online Payment System,Receipting,4793622,0,0.5,0,01/01/2008 0:00,01/06/2020 0:00,Yes,No,Smart Service,Online Payment Application Services,2000000
DSITI,Air Quality Database,Information Provision,12,88,0.1,0,01/01/2009 0:00,01/07/2019 0:00,Yes,No,DSITI,Air Quality Database,50000
DSITI,Alloc8,Time and Attendance,60,60,0.05,0,06/01/2007 0:00,01/07/2019 0:00,No,No,Custom,Custom,20400
DSITI,Archives One,Information Provision,450000,Not reported,1,0,01/01/2001 0:00,01/01/2020 0:00,No,No,Technology One,Archives One,1600000
DSITI,Aurion,Organisational Development,300,1,0,0,01/05/2013 0:00,1/12/2015 0:00,No,No,Aurion,Aurion Enterprise HRIS & Payroll Software Solution,1000000
DSITI,Aurion ACE,Skills Management,2552,2552,4,0,01/07/2012 0:00,31/03/2020 0:00,No,No,Aurion,Aurion ACE,4000000
DSITI,Aurion ESS,Employee Administration,10,Not reported,0,0,01/01/2014 0:00,01/07/2018 0:00,No,No,Aurion,Aurion ESS,0
DSITI,AussieGRASS,Information Provision,50,0,0.1,0,01/06/1995 0:00,1/12/2020 0:00,Yes,No,DSITI,Aussie Grass/GRASP,1000000
DSITI,Basecamp,Knowledge Management,48,1,0.01,0,1/11/2013 0:00,30/06/2016 0:00,No,No,Basecamp,Basecamp,0
DSITI,Chemwatch,Enterprise Asset Management,3,1,0.1,0,01/01/1990 0:00,1/12/2020 0:00,No,No,Chemwatch,Chemwatch,0
DSITI,Coastal Data System,Information Provision,200,0,0.5,0,01/01/1992 0:00,1/12/2020 0:00,Yes,No,"Science Delivery, DSITI",Coastal Data System,200000
DSITI,Confirm Applications,Sales,30000,0,5,0.2,01/01/2000 0:00,01/07/2019 0:00,Yes,No,CITEC,Confirm,10000000
DSITI,Convene,"Executive, Management Information Systems",60,60,0.01,0,30/04/2015 0:00,30/04/2021 0:00,No,No,Azeus,Convene,0
DSITI,Corveg,Information Provision,80,0,0.1,0,01/06/2008 0:00,01/01/2020 0:00,Yes,No,DSITI,Oracle,500000
DSITI,CRM,Client Account Management,20,20,1,0,01/01/2012 0:00,01/07/2019 0:00,No,No,Microsoft,Dynamics CRM,50000
DSITI,DCC,GENERIC SERVICE DELIVERY,3152,3152,1.5,0,01/01/1995 0:00,01/07/2019 0:00,No,No,Microsoft,Office,3377000
DSITI,DCC,"Authorities, Licences, Permits and Awards",0,0,0,0,01/08/2013 0:00,01/07/2019 0:00,No,No,Microsoft,Office 365,0
DSITI,DEW,Information Provision,200,0,0.1,0,01/08/1998 0:00,1/12/2015 0:00,Yes,No,Dialog,DEW,50000
DSITI,Ecomaps,Information Provision,500,1,0.1,0,01/02/2002 0:00,30/06/2016 0:00,Yes,No,ESRI Australia,ArcIMS,300000
DSITI,eCourts System,Sales,1000,1,0.25,1,01/07/2014 0:00,01/07/2019 0:00,Yes,No,InfoCentral Solutions,eCourts System,2000000
DSITI,Enterprise GIS,Information Provision,200,2,0.1,0,01/07/2004 0:00,30/06/2016 0:00,Yes,No,ESRI Australia,"Oracle 
ArcSDE",250000
DSITI,Fieldglass,Contract Management,1,Not reported,0,0,01/01/2013 0:00,1/12/2016 0:00,No,No,Fieldglass,Fieldglass Vendor Management System (VMS),0
DSITI,FinanceOne Archive,Financial Management,2,Not reported,0,0,01/01/2014 0:00,30/06/2015 0:00,No,No,TechnologyOne,TechnologyOne Financials,0
DSITI,FORAGE,Information Provision,450,0,0.4,0,01/06/2009 0:00,01/01/2020 0:00,Yes,No,DSITI,Python,1100000
DSITI,GAS,"Subsidies, Grants, Benefits and Assistance",15,0,0.1,0,01/06/1999 0:00,30/06/2016 0:00,Yes,No,DSITI,GAS,500000
DSITI,GITC Access Database,Accreditation,3,3,0.1,0,01/01/2010 0:00,30/06/2016 0:00,Yes,No,Microsoft,Access,3000000
DSITI,GITC CRM,Accreditation,2,6,0.1,0,01/01/2003 0:00,30/12/2015 0:00,Yes,No,Microsoft,Microsoft Business Solutions CRM,70000
DSITI,GRASP,Information Provision,50,0,0.1,0,30/06/1980 0:00,01/01/2020 0:00,Yes,No,DSITI,GRASP,3600000
DSITI,Herbrecs,Information Provision,80,0,0.1,0,01/06/1981 0:00,01/01/2020 0:00,Yes,No,Dialog,Herbrecs (Herbarium Records System) - an Oracle system,8000000
DSITI,HRMS Payroll Archive,Payroll,Not reported,Not reported,Not reported,Not reported,31/12/1999 0:00,31/12/2018 0:00,Yes,No,Unknown,HRMS Payroll Archive,0
DSITI,Website - Chief Scientist,Information Submission,4793622,Not reported,0,0,01/01/2004 0:00,01/07/2018 0:00,No,No,"Open Source Matters, Inc.",Joomla,100000
DSITI,Website - OpenData Portal,"Product, Service Development and Marketing",4793622,2,1.5,0,1/12/2012 0:00,20/01/2016 0:00,No,No,CKAN,OpenData portal,2000000
DSITI,Website - ICT Directory,Event Management,2,1,0,0,1/12/2010 0:00,01/07/2018 0:00,Yes,No,"Department of Employment, Economic Development and Innovation",ICT Directory,1000
DSITI,Website - Regrowth Benefits Mapping Tool,Information Provision,1000,1,0.4,0,1/10/2014 0:00,01/06/2020 0:00,Yes,No,ESRI Australia,Oracle,200000
DSITI,Website - QG Publications,Library Management,4793622,2,0.5,0,15/01/2013 0:00,20/01/2016 0:00,No,No,CKAN,Publications portal,1000000
DSITI,Website - QSA Internet,Information Provision,4793622,Not reported,0.15,0,03/09/2012 0:00,01/01/2020 0:00,No,No,Microsoft,Microsoft SharePoint Server 2007,35000
DSITI,Website - Maps Online,Information Provision,5000,1,0.4,0,1/12/2003 0:00,01/06/2020 0:00,Yes,No,ESRI Australia,ArcGIS Server,500000
DSITI,Website - Wetland Maps,Information Provision,8500,1,0.4,0,01/02/2008 0:00,01/06/2020 0:00,Yes,No,ESRI Australia,Oracle,200000
DSITI,Eventbrite - Science,Information Provision,4793622,0,0,0,01/03/2014 0:00,31/12/2020 0:00,No,No,Eventbrite,Eventbrite,5000
DSITI,Eventbrite - DEP,Event Management,6,0,0,0,01/02/2013 0:00,01/07/2019 0:00,No,No,Eventbrite,Eventbrite,1000
DSITI,Website - GoDigitalQld,Event Management,3,1,0,0,1/11/2013 0:00,01/07/2019 0:00,Yes,No,Bang the Table,EngagementHQ,36500
DSITI,Website - Long Paddock,Information Provision,61000,0,0.1,0,1/12/1995 0:00,01/01/2020 0:00,Yes,No,DSITI,Teamsite Content Management System version,2000000
DSITI,Website - QGCIO,Information Submission,4793622,1,0.5,0,01/06/2012 0:00,01/06/2017 0:00,No,No,Jentla,Joomla,100000
DSITI,Website - DSITI Internet,Information Provision,86700,0,0,0,01/03/2015 0:00,01/07/2019 0:00,Yes,No,HP,Interwoven Teamsite,10000000
DSITI,Website - Queensland Science Capability Directory,Not reported,4793622,0,0.1,0,01/03/2014 0:00,31/12/2020 0:00,Yes,No,DSITI,Website - Queensland Science Capability Directory,50000
DSITI,Slideshare - Digital Economy Queensland,Event Management,3,0,0,0,07/08/2012 0:00,01/07/2019 0:00,No,No,LinkedIn,Slideshare,1000
DSITI,Team Up - DEP,Event Management,1,0,1,0,01/07/2012 0:00,01/07/2019 0:00,No,No,Team Up,Team Up,1000
DSITI,Vision6 - DEP,Information Provision,6,1,0,0,10/06/2008 0:00,01/07/2019 0:00,No,No,Vision6,Vision6,1000
DSITI,REDD,Information Provision,1000,0,0.1,0,01/01/1997 0:00,31/12/2020 0:00,Yes,No,Microsoft,Access,50000
DSITI,Website - DSITI Intranet,Information Provision,2788,0,0,0,1/11/2013 0:00,01/07/2019 0:00,Yes,No,Joomla,Joomla Content Management System,5000000
DSITI,Website - ICT Console,Information Provision,95,155,2,0.2,29/05/2014 0:00,28/05/2016 0:00,No,No,Tibco,Spotfire,250000
DSITI,Twitter - Digital Queensland,"Product, Service Development and Marketing",4793622,0,0,0,27/03/2015 0:00,01/07/2019 0:00,No,No,Twitter inc,Twitter,0
DSITI,Twitter - Digital Queensland,Information Provision,3,0,0,0,26/03/2015 0:00,01/07/2019 0:00,No,No,Twitter,Twitter,1000
DSITI,Twitter - Open Data Queensland,"Product, Service Development and Marketing",4793622,0,0,0,12/08/2014 0:00,01/07/2019 0:00,No,No,Twitter inc,Twitter,0
DSITI,Twitter - Queensland Science,"Product, Service Development and Marketing",4793622,0,0,0,7/12/2011 0:00,01/07/2019 0:00,No,No,Twitter inc,Twitter,0
DSITI,Vimeo,"Product, Service Development and Marketing",25,0,0,0,01/01/2015 0:00,01/07/2019 0:00,No,No,Vimeo,Vimeo,0
DSITI,Vine,"Product, Service Development and Marketing",25,0,0,0,01/01/2015 0:00,01/07/2019 0:00,No,No,Vine Labs Inc,Vine,0
DSITI,Website - ICT Industry,Event Management,15,0,0,0,07/08/2012 0:00,01/07/2019 0:00,Yes,No,Business Industry Franchise,Government business website,1000
DSITI,Facebook - Digital Queensland,Event Management,3,0,0,0,01/07/2012 0:00,01/07/2019 0:00,No,No,Facebook,Facebook,1000
DSITI,Facebook - Open Data Queensland,Information Provision,4793622,0,0,0,12/08/2014 0:00,01/07/2019 0:00,No,No,Facebook Inc,Facebook,0
DSITI,Facebook - Queensland Science,Information Provision,4793622,0,0,0,23/11/2011 0:00,01/07/2019 0:00,No,No,Facebook Inc,Facebook,0
DSITI,Website - Get Involved,Customer Marketing,4793622,0,1,0,01/01/2011 0:00,30/06/2018 0:00,Yes,No,Kit Digital,Get Involved Website,500000
DSITI,Website - QG,Sales,4793622,0,2.5,0,1/11/2011 0:00,30/06/2018 0:00,Yes,No,SSQ,Queensland Government Internet Site,668640
DSITI,Website - ICT Dashboard QGCIO,Information Provision,5000,0,0.5,0,01/07/2013 0:00,30/06/2016 0:00,Yes,No,OSSSIO,ICT Dashboard,80000
DSITI,Website - ICT Dashboard OSSSIO,Statistical Tools,4793622,0,0.1,0,1/11/2014 0:00,01/07/2019 0:00,Yes,No,OSSSIO,ICT Dashboard,160000
DSITI,Survey Monkey - DEP,Information Submission,3,1,0,0,01/07/2012 0:00,01/07/2019 0:00,No,No,Survey Monkey,Survey Monkey,1000
DSITI,YouTube - DigitalEconomyQld,Event Management,3,0,0,0,01/07/2012 0:00,01/07/2019 0:00,No,No,YouTube,YouTube,1000
DSITI,YouTube - Queensland Science,Information Provision,4793622,0,0,0,8/12/2011 0:00,01/07/2019 0:00,No,No,Google,YouTube,0
DSITI,InfoBase Financials,Sales,20,0,0.25,1,01/01/2012 0:00,01/07/2019 0:00,Yes,No,InfoCentral Solutions,InfoBase Financials,5000000
DSITI,JIRA,Case Management,11,20,0.25,0,01/01/2012 0:00,01/07/2019 0:00,No,No,Atlassian,JIRA,0
DSITI,LIMS,Laboratory Systems,40,16,0.1,0,01/01/2000 0:00,01/01/2020 0:00,Yes,No,ThermoFisher Scientific,Sample Manager,1500000
DSITI,MECS,Document and Records Management,285,1,0.15,1,15/09/2014 0:00,01/07/2019 0:00,No,No,Bay Technologies Pty Ltd,Mincor,400000
DSITI,MEDLI,Information Provision,300,300,0.4,0,01/05/1996 0:00,01/01/2020 0:00,Yes,No,DSITI,MEDLI,250000
DSITI,My Appointment,Recruitment,2552,0,0.5,0,01/01/2006 0:00,30/12/2018 0:00,Yes,No,Queensland Government,My Appointment,0
DSITI,Open AM,"Product, Service Development and Marketing",50000,100000,0.25,0.15,01/09/2013 0:00,01/09/2016 0:00,No,No,Sun Microsystems Inc,OpenAM,500000
DSITI,Open DJ,"Product, Service Development and Marketing",50000,100000,0.25,0.15,01/09/2013 0:00,01/09/2016 0:00,No,No,Sun Microsystems Inc,OpenDJ,500000
DSITI,QG CIDM,Modelling and Simulation,50000,0,8,0.5,1/12/2014 0:00,01/07/2019 0:00,Yes,No,CITEC,CIDM,5000000
DSITI,TRIM,Document and Records Management,3,Not reported,Not reported,Not reported,01/01/2009 0:00,01/06/2015 0:00,No,No,DSITI CIO,TRIM,20000
DSITI,My.Appointment,Recruitment,Not reported,Not reported,0,0,01/01/2013 0:00,01/06/2015 0:00,Yes,No,DSITI CIO,My.Appointment,10000
DSITI,RAD,Recruitment,30,Not reported,Not reported,Not reported,01/01/2013 0:00,01/06/2015 0:00,Yes,No,DSITI CIO,RAD,0
DSITI,Alloc8 v2.5,Time and Attendance,2763,Not reported,1,0,01/01/2005 0:00,01/01/2017 0:00,Yes,No,QSS,Alloc8,165000
DSITI,Alloc8 DPW2010,Payroll,200,Not reported,0.1,0,01/01/2005 0:00,31/12/2019 0:00,Yes,No,SSIO,Alloc8 DPW2010,165000
DSITI,CAD,Document and Records Management,30,Not reported,Not reported,Not reported,01/01/2013 0:00,01/06/2015 0:00,Yes,No,DSITI CIO,CAD,1000
DSITI,InfoView BAM,Contract Management,70975,Not reported,0,0,01/08/2011 0:00,31/08/2016 0:00,No,No,InfoView Technologies Pty Ltd,Infoview Billing and Asset Management System (Infoview BAM),1500000
DSITI,Website - QSS Govnet,Information Provision,885,Not reported,0.4,0,01/01/2011 0:00,01/01/2017 0:00,Yes,No,DPW,SharePoint Portal,140000
DSITI,Financial Reporter,Financial Management,1799,Not reported,0.4,0,31/12/1999 0:00,30/12/2015 0:00,Yes,No,Corporate Service Agency,Financial Reporter,165000
DSITI,SASS,Customer Support,30,Not reported,Not reported,Not reported,01/01/2013 0:00,01/06/2015 0:00,No,No,DSITI CIO,SASS,1000
DSITI,CEP; Financial Mgmt,Enterprise Asset Management,6525,1,12,0,01/01/2000 0:00,01/06/2016 0:00,No,No,SAP,ECC,5000000
DSITI,CSP; Financial Mgmt,Enterprise Asset Management,731,1,6.5,0,01/01/1990 0:00,01/06/2015 0:00,No,No,SAP,ERP,5000000
DSITI,CSP; Human Resources Mgmt/Payroll,Skills Management,240,1,0,0,01/01/1990 0:00,01/06/2015 0:00,No,No,SAP,ERP,0
DSITI,CBP; Business Warehouse,Enterprise Business Intelligence,3227,1,4,0,01/01/2000 0:00,01/06/2016 0:00,No,No,SAP,Netweaver,5000000
DSITI,DSP; Receipting,Receipting,33,1,0.2,0,01/01/1990 0:00,01/06/2016 0:00,No,No,SAP,ERP,0
DSITI,FYP; Financial Mgmt,Enterprise Asset Management,670,1,4,0,01/01/1990 0:00,30/06/2015 0:00,No,No,SAP,ERP,5000000
DSITI,FYP; Human Resources Mgmt/Payroll,Skills Management,432,1,0,0,01/01/1990 0:00,30/06/2015 0:00,No,No,SAP,ERP,0
DSITI,HQP; Financial Mgmt,Enterprise Asset Management,1281,1,4,0,01/01/1990 0:00,30/06/2015 0:00,No,No,SAP,ERP,5077000
DSITI,HQP; Real Estate,Inventory Management,1518,74000,7,0,05/01/2002 0:00,01/06/2015 0:00,No,No,SAP,ERP,0
DSITI,QTP; Financial Mgmt,Enterprise Asset Management,246,1,1.5,0,01/01/1990 0:00,01/06/2015 0:00,No,No,SAP,ERP,5000000
DSITI,QTP; Human Resources Mgmt/Payroll,Skills Management,72,1,1,0.25,01/01/1990 0:00,31/12/2012 0:00,No,No,SAP,ERP,0
DSITI,TPP; Financial Mgmt,Enterprise Asset Management,4749,1,3.5,0,01/01/1990 0:00,01/06/2020 0:00,No,No,SAP,ECC,5000000
DSITI,TPP; Human Resources Mgmt/Payroll,Skills Management,6903,1,6.6,0.75,01/01/1990 0:00,01/06/2020 0:00,No,No,SAP,ECC,5000000
DSITI,CITEC;Human Resources Mgmt/Payroll,Skills Management,371,371,0.4,0,01/04/2011 0:00,01/06/2016 0:00,No,No,Aurion Corporation Pty Ltd,Aurion,5000000
DSITI,ACE; Human Resources Mgmt/Payroll,Skills Management,27369,27369,6,0,05/01/1999 0:00,01/06/2016 0:00,No,No,Aurion Corporation Pty Ltd,Aurion,30500000
DSITI,QPS; Human Resources Mgmt/Payroll,Skills Management,16835,16835,3,0,05/01/1999 0:00,01/06/2016 0:00,No,No,Aurion Corporation Pty Ltd,Aurion,5000000
DSITI,DET; Human Resources Mgmt/Payroll,Skills Management,0,0,2,0,05/01/1999 0:00,30/09/2015 0:00,No,No,Aurion Corporation Pty Ltd,Aurion,5000000
DSITI,PRODCS; Human Resources Mgmt/Payroll,Skills Management,293,115,2.5,0,01/01/1990 0:00,30/06/2017 0:00,No,No,Talent2,Lattice,41700000
DSITI,PRODES; Human Resources Mgmt/Payroll,Skills Management,286,137,2.5,0,01/01/1990 0:00,30/06/2017 0:00,No,No,Talent2,Lattice,41700000
DSITI,TBP; Business Warehouse,Enterprise Business Intelligence,40,1,0.3,0,01/01/1990 0:00,01/06/2020 0:00,No,No,SAP,Netweaver,500000
DSITI,eAssets,Enterprise Asset Management,4338,Not reported,0.4,0,31/12/1999 0:00,30/12/2015 0:00,Yes,No,Corporate Service Agency,eAssets,165000
DSITI,eGift Register,Enterprise Asset Management,150,Not reported,0.4,0,31/12/1999 0:00,07/01/2017 0:00,Yes,No,Corporate Service Agency,eGift Register,40000
DSITI,eJournal,Financial Management,476,Not reported,0.4,0,31/12/1999 0:00,07/01/2017 0:00,Yes,No,Corporate Service Agency,eJournal,110000
DSITI,ePettyCash,General Ledger,1873,Not reported,0.4,0,31/12/1999 0:00,30/12/2015 0:00,Yes,No,Corporate Service Agency,ePettyCash,110000
DSITI,DCC,Information Provision,0,0,0,0,01/08/2013 0:00,01/07/2019 0:00,No,No,Microsoft,Office 365,0
DSITI,HRM Reporter,"Executive, Management Information Systems",516,Not reported,0.2,0,31/12/1999 0:00,30/12/2014 0:00,Yes,No,QSS,HRM Reporter,165000
DSITI,Springboard,Recruitment,1000000,1,3,0,06/01/2007 0:00,12/01/2018 0:00,No,No,HRX,RecruitASP/Springboard/SmartJobs Website,1200000
DSITI,CARM solution,Planning and Governance,176,176,0,0,01/07/2014 0:00,30/05/2017 0:00,No,No,Proviti,CARM solution,40000
DSITI,ONESource,Payments,25,97,Not reported,Not reported,01/01/2013 0:00,01/06/2015 0:00,No,No,DSITI CIO,ONESource,40000
DSITI,ServiceNow,Customer Service and Support,310,285,1,0,01/01/2010 0:00,31/12/2020 0:00,No,No,ServiceNow,ServiceNow,850000
DSITI,QSS Customer Site,Information Provision,Not reported,Not reported,Not reported,Not reported,01/01/2009 0:00,01/06/2015 0:00,Yes,No,DSITI CIO,QSS Customer Site,10000
DSITI,QWD,Information Provision,20,0,0.4,0,01/04/2002 0:00,01/06/2018 0:00,Yes,No,DSITI,QWD,450000
DSITI,Runoff Storage and Irrigation Calculator,Design and Engineering,50,0,0.1,0,01/01/2000 0:00,1/12/2015 0:00,Yes,No,DSITI,RUSTIC,0
DSITI,SALI,Information Provision,200,0,0.1,0,01/01/2003 0:00,1/12/2015 0:00,Yes,No,DNRM,SALI,1500000
DSITI,SAP BW,Financial Management,Not reported,Not reported,Not reported,Not reported,01/01/2000 0:00,01/06/2025 0:00,No,No,SAP,ECC,0
DSITI,SAP Finance,Sourcing and Procurement,40,Not reported,0,0,01/01/2000 0:00,01/06/2025 0:00,No,No,SAP,ECC,0
DSITI,SAP R3,Financial Management,150,1,1.2,0,01/01/2000 0:00,01/07/2017 0:00,No,No,SAP,SAP R3,2638539
DSITI,SASS,Recruitment,12,0,0.5,0,06/01/2007 0:00,12/01/2018 0:00,No,No,HRX,SASS,0
DSITI,ServiceNow,Client Account Management,3192,73,2,0,01/01/2009 0:00,01/07/2019 0:00,No,No,ServiceNow,ServiceNow,1000000
DSITI,ServiceNow,"Call Centre, Help Desk",310,425,2.8,0,31/03/2009 0:00,30/06/2020 0:00,No,No,ServiceNow,ServiceNow,1000000
DSITI,SILO,Information Provision,700,15,0.4,0,1/12/1995 0:00,01/01/2020 0:00,Yes,No,DSITI,SILO,2200000
DSITI,SpiraTeam,Information Submission,20,20,0.25,0,01/01/2012 0:00,01/07/2019 0:00,No,No,Inflectra,SpiraTeam,0
DSITI,CHIIP,Customer Service,270,1,0.2,0,01/07/2006 0:00,1/12/2017 0:00,Yes,No,SMS Management and Technology,Card Holder and Industry Information Platform (CHIIP),1000000
DSITI,Genesys,Analytics,300,850,1,0.5,1/10/2013 0:00,1/10/2020 0:00,No,No,Genesys,Genesys,4321535
DSITI,Telstra Analyser,Analytics,6,6,1.00E-03,0,06/01/2009 0:00,06/01/2017 0:00,No,No,Telstra,Telstra Analyser Online,0
DSITI,TeamMate,Risk and Issue Management,10,10,0.1,0,01/07/2009 0:00,01/07/2019 0:00,No,No,Wolters Kluwer Financial Services,Audit Management System,50000
DSITI,TimeTrax,Time and Attendance,300,0,1,0,01/01/1996 0:00,01/01/2019 0:00,Yes,No,CITEC,TimeTrax,100000
DSITI,TRIM,Document and Records Management,8,Not reported,0,0,01/01/2014 0:00,01/07/2018 0:00,No,No,HP,TRIM,0
DSITI,TRIM Context,Document and Records Management,107,107,0.15,0,01/09/2009 0:00,01/01/2020 0:00,No,No,Hewlett-Packard (HP),TRIM Context,30535
DSITI,TRIM Context,Document and Records Management,81,0,0.5,0,01/01/2008 0:00,01/07/2019 0:00,No,No,Hewlett-Packard (HP),TRIM Context,0
DSITI,TRIM Corro,Document and Records Management,5,10,0.05,0,02/04/2013 0:00,01/07/2019 0:00,No,No,Hewlett-Packard (HP),TRIM HP Records Manager,50000
DSITI,NICE,Analytics,300,850,1,0.05,1/10/2013 0:00,1/10/2020 0:00,No,No,Nice,NICE Perform,723807
DSITI,QGAP MIS,Customer Service,400,1,0.5,0,20/06/2008 0:00,30/06/2016 0:00,Yes,No,Oracle,Point of Sale,899525
DSITI,DOTS LMS,Skills Management,900,1500,0.6,0.01,31/05/2007 0:00,30/06/2016 0:00,Yes,No,DOTS Talent Solutions,Learning Management System,180050
DSITI,Ciboodle,Customer Service,300,600,1,1,01/01/2009 0:00,01/01/2017 0:00,Yes,No,Kana Ciboodle,Ciboodle CRM,1200000
DSITI,RADS,General Ledger,25,0,0,0.5,01/01/2010 0:00,11/01/2017 0:00,Yes,No,Smart Service,RADS,1850000
DSITI,Vision6 - SPI,Information Provision,2,1,0,0,01/01/2015 0:00,31/12/2015 0:00,No,No,Vision6,Vision6,2596
DSITI,WaTERS,Information Submission,100,4,0.4,0,27/10/2013 0:00,31/05/2018 0:00,Yes,No,DSITI,.NET Framework,630000
DSITI,Website - GovNet Portal,"Authorities, Licences, Permits and Awards",235336,Not reported,1,0,01/01/2000 0:00,01/07/2017 0:00,Yes,No,DSITI,Website - GovNet Portal,200000
DSITI,WIC,Information Submission,15,1,0.1,0,01/01/2009 0:00,30/06/2016 0:00,Yes,No,Dialog,Oracle,300000
